province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Victoria,Australia,2020-10-11,-37.8136,144.9631,POINT(144.9631 -37.8136),20295,810,19218,267,,,"Victoria, Australia"
Western Australia,Australia,2020-10-11,-31.9505,115.8605,POINT(115.8605 -31.9505),694,9,670,15,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-12,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-12,-33.8688,151.2093,POINT(151.2093 -33.8688),4295,53,3134,1108,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-12,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-12,-27.4698,153.0251,POINT(153.0251 -27.4698),1161,6,1154,1,,,"Queensland, Australia"
South Australia,Australia,2020-10-12,-34.9285,138.6007,POINT(138.6007 -34.9285),475,4,467,4,,,"South Australia, Australia"
Tasmania,Australia,2020-10-12,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-12,-37.8136,144.9631,POINT(144.9631 -37.8136),20307,811,19243,253,,,"Victoria, Australia"
Western Australia,Australia,2020-10-12,-31.9505,115.8605,POINT(115.8605 -31.9505),696,9,671,16,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-13,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-13,-33.8688,151.2093,POINT(151.2093 -33.8688),4310,53,3140,1117,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-13,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-13,-27.4698,153.0251,POINT(153.0251 -27.4698),1161,6,1154,1,,,"Queensland, Australia"
South Australia,Australia,2020-10-13,-34.9285,138.6007,POINT(138.6007 -34.9285),476,4,468,4,,,"South Australia, Australia"
Tasmania,Australia,2020-10-13,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-13,-37.8136,144.9631,POINT(144.9631 -37.8136),20311,816,19248,247,,,"Victoria, Australia"
Western Australia,Australia,2020-10-13,-31.9505,115.8605,POINT(115.8605 -31.9505),703,9,676,18,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-14,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-14,-33.8688,151.2093,POINT(151.2093 -33.8688),4321,53,3140,1128,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-14,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-14,-27.4698,153.0251,POINT(153.0251 -27.4698),1162,6,1154,2,,,"Queensland, Australia"
South Australia,Australia,2020-10-14,-34.9285,138.6007,POINT(138.6007 -34.9285),479,4,469,6,,,"South Australia, Australia"
Tasmania,Australia,2020-10-14,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-14,-37.8136,144.9631,POINT(144.9631 -37.8136),20315,816,19248,251,,,"Victoria, Australia"
Western Australia,Australia,2020-10-14,-31.9505,115.8605,POINT(115.8605 -31.9505),704,9,676,19,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-15,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-15,-33.8688,151.2093,POINT(151.2093 -33.8688),4326,53,3142,1131,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-15,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-15,-27.4698,153.0251,POINT(153.0251 -27.4698),1164,6,1154,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-15,-34.9285,138.6007,POINT(138.6007 -34.9285),479,4,471,4,,,"South Australia, Australia"
Tasmania,Australia,2020-10-15,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-15,-37.8136,144.9631,POINT(144.9631 -37.8136),20317,816,19259,242,,,"Victoria, Australia"
Western Australia,Australia,2020-10-15,-31.9505,115.8605,POINT(115.8605 -31.9505),709,9,676,24,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-16,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-16,-33.8688,151.2093,POINT(151.2093 -33.8688),4333,53,3142,1138,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-16,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-16,-27.4698,153.0251,POINT(153.0251 -27.4698),1164,6,1154,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-16,-34.9285,138.6007,POINT(138.6007 -34.9285),479,4,471,4,,,"South Australia, Australia"
Tasmania,Australia,2020-10-16,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-16,-37.8136,144.9631,POINT(144.9631 -37.8136),20317,816,19287,214,,,"Victoria, Australia"
Western Australia,Australia,2020-10-16,-31.9505,115.8605,POINT(115.8605 -31.9505),709,9,683,17,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-17,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-17,-33.8688,151.2093,POINT(151.2093 -33.8688),4338,53,3142,1143,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-17,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-17,-27.4698,153.0251,POINT(153.0251 -27.4698),1164,6,1154,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-17,-34.9285,138.6007,POINT(138.6007 -34.9285),482,4,472,6,,,"South Australia, Australia"
Tasmania,Australia,2020-10-17,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-17,-37.8136,144.9631,POINT(144.9631 -37.8136),20319,816,19287,216,,,"Victoria, Australia"
Western Australia,Australia,2020-10-17,-31.9505,115.8605,POINT(115.8605 -31.9505),711,9,683,19,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-18,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-18,-33.8688,151.2093,POINT(151.2093 -33.8688),4342,53,3142,1147,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-18,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-18,-27.4698,153.0251,POINT(153.0251 -27.4698),1164,6,1154,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-18,-34.9285,138.6007,POINT(138.6007 -34.9285),484,4,472,8,,,"South Australia, Australia"
Tasmania,Australia,2020-10-18,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-18,-37.8136,144.9631,POINT(144.9631 -37.8136),20319,817,19295,207,,,"Victoria, Australia"
Western Australia,Australia,2020-10-18,-31.9505,115.8605,POINT(115.8605 -31.9505),714,9,685,20,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-19,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-19,-33.8688,151.2093,POINT(151.2093 -33.8688),4347,53,3142,1152,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-19,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-19,-27.4698,153.0251,POINT(153.0251 -27.4698),1164,6,1154,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-19,-34.9285,138.6007,POINT(138.6007 -34.9285),484,4,472,8,,,"South Australia, Australia"
Tasmania,Australia,2020-10-19,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-19,-37.8136,144.9631,POINT(144.9631 -37.8136),20320,817,19299,204,,,"Victoria, Australia"
Western Australia,Australia,2020-10-19,-31.9505,115.8605,POINT(115.8605 -31.9505),714,9,685,20,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-20,-35.4735,149.0124,POINT(149.0124 -35.4735),113,3,110,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-20,-33.8688,151.2093,POINT(151.2093 -33.8688),4357,53,3141,1163,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-20,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-20,-27.4698,153.0251,POINT(153.0251 -27.4698),1165,6,1154,5,,,"Queensland, Australia"
South Australia,Australia,2020-10-20,-34.9285,138.6007,POINT(138.6007 -34.9285),484,4,472,8,,,"South Australia, Australia"
Tasmania,Australia,2020-10-20,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-20,-37.8136,144.9631,POINT(144.9631 -37.8136),20323,817,19313,193,,,"Victoria, Australia"
Western Australia,Australia,2020-10-20,-31.9505,115.8605,POINT(115.8605 -31.9505),738,9,685,44,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-21,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-21,-33.8688,151.2093,POINT(151.2093 -33.8688),4363,53,3141,1169,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-21,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-21,-27.4698,153.0251,POINT(153.0251 -27.4698),1165,6,1155,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-21,-34.9285,138.6007,POINT(138.6007 -34.9285),485,4,473,8,,,"South Australia, Australia"
Tasmania,Australia,2020-10-21,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-21,-37.8136,144.9631,POINT(144.9631 -37.8136),20329,817,19329,183,,,"Victoria, Australia"
Western Australia,Australia,2020-10-21,-31.9505,115.8605,POINT(115.8605 -31.9505),739,9,690,40,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-22,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-22,-33.8688,151.2093,POINT(151.2093 -33.8688),4370,53,3143,1174,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-22,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-22,-27.4698,153.0251,POINT(153.0251 -27.4698),1167,6,1155,6,,,"Queensland, Australia"
South Australia,Australia,2020-10-22,-34.9285,138.6007,POINT(138.6007 -34.9285),485,4,473,8,,,"South Australia, Australia"
Tasmania,Australia,2020-10-22,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-22,-37.8136,144.9631,POINT(144.9631 -37.8136),20330,817,19340,173,,,"Victoria, Australia"
Western Australia,Australia,2020-10-22,-31.9505,115.8605,POINT(115.8605 -31.9505),747,9,690,48,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-23,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-23,-33.8688,151.2093,POINT(151.2093 -33.8688),4375,53,3145,1177,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-23,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-23,-27.4698,153.0251,POINT(153.0251 -27.4698),1167,6,1157,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-23,-34.9285,138.6007,POINT(138.6007 -34.9285),487,4,473,10,,,"South Australia, Australia"
Tasmania,Australia,2020-10-23,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-23,-37.8136,144.9631,POINT(144.9631 -37.8136),20336,817,19346,173,,,"Victoria, Australia"
Western Australia,Australia,2020-10-23,-31.9505,115.8605,POINT(115.8605 -31.9505),753,9,692,52,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-24,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-24,-33.8688,151.2093,POINT(151.2093 -33.8688),4382,53,3145,1184,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-24,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-24,-27.4698,153.0251,POINT(153.0251 -27.4698),1167,6,1155,6,,,"Queensland, Australia"
South Australia,Australia,2020-10-24,-34.9285,138.6007,POINT(138.6007 -34.9285),487,4,473,10,,,"South Australia, Australia"
Tasmania,Australia,2020-10-24,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-24,-37.8136,144.9631,POINT(144.9631 -37.8136),20343,817,19354,172,,,"Victoria, Australia"
Western Australia,Australia,2020-10-24,-31.9505,115.8605,POINT(115.8605 -31.9505),757,9,692,56,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-25,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-25,-33.8688,151.2093,POINT(151.2093 -33.8688),4386,53,3145,1188,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-25,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-25,-27.4698,153.0251,POINT(153.0251 -27.4698),1167,6,1157,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-25,-34.9285,138.6007,POINT(138.6007 -34.9285),491,4,475,12,,,"South Australia, Australia"
Tasmania,Australia,2020-10-25,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-25,-37.8136,144.9631,POINT(144.9631 -37.8136),20342,817,19359,166,,,"Victoria, Australia"
Western Australia,Australia,2020-10-25,-31.9505,115.8605,POINT(115.8605 -31.9505),762,9,700,53,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-26,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-26,-33.8688,151.2093,POINT(151.2093 -33.8688),4398,53,3147,1198,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-26,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-26,-27.4698,153.0251,POINT(153.0251 -27.4698),1167,6,1157,4,,,"Queensland, Australia"
South Australia,Australia,2020-10-26,-34.9285,138.6007,POINT(138.6007 -34.9285),494,4,478,12,,,"South Australia, Australia"
Tasmania,Australia,2020-10-26,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-26,-37.8136,144.9631,POINT(144.9631 -37.8136),20341,817,19370,154,,,"Victoria, Australia"
Western Australia,Australia,2020-10-26,-31.9505,115.8605,POINT(115.8605 -31.9505),762,9,700,53,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-27,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-27,-33.8688,151.2093,POINT(151.2093 -33.8688),4406,53,3147,1206,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-27,-12.4634,130.8456,POINT(130.8456 -12.4634),33,0,33,0,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-27,-27.4698,153.0251,POINT(153.0251 -27.4698),1169,6,1157,6,,,"Queensland, Australia"
South Australia,Australia,2020-10-27,-34.9285,138.6007,POINT(138.6007 -34.9285),494,4,479,11,,,"South Australia, Australia"
Tasmania,Australia,2020-10-27,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-27,-37.8136,144.9631,POINT(144.9631 -37.8136),20342,819,19370,153,,,"Victoria, Australia"
Western Australia,Australia,2020-10-27,-31.9505,115.8605,POINT(115.8605 -31.9505),765,9,706,50,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-28,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,110,1,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-28,-33.8688,151.2093,POINT(151.2093 -33.8688),4411,53,3147,1211,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-28,-12.4634,130.8456,POINT(130.8456 -12.4634),37,0,33,4,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-28,-27.4698,153.0251,POINT(153.0251 -27.4698),1169,6,1157,6,,,"Queensland, Australia"
South Australia,Australia,2020-10-28,-34.9285,138.6007,POINT(138.6007 -34.9285),495,4,479,12,,,"South Australia, Australia"
Tasmania,Australia,2020-10-28,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-28,-37.8136,144.9631,POINT(144.9631 -37.8136),20344,819,19382,143,,,"Victoria, Australia"
Western Australia,Australia,2020-10-28,-31.9505,115.8605,POINT(115.8605 -31.9505),765,9,706,50,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-29,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-29,-33.8688,151.2093,POINT(151.2093 -33.8688),4417,53,3148,1216,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-29,-12.4634,130.8456,POINT(130.8456 -12.4634),37,0,33,4,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-29,-27.4698,153.0251,POINT(153.0251 -27.4698),1172,6,1159,7,,,"Queensland, Australia"
South Australia,Australia,2020-10-29,-34.9285,138.6007,POINT(138.6007 -34.9285),496,4,482,10,,,"South Australia, Australia"
Tasmania,Australia,2020-10-29,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-29,-37.8136,144.9631,POINT(144.9631 -37.8136),20347,819,19381,147,,,"Victoria, Australia"
Western Australia,Australia,2020-10-29,-31.9505,115.8605,POINT(115.8605 -31.9505),766,9,708,49,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-30,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-30,-33.8688,151.2093,POINT(151.2093 -33.8688),4421,53,3148,1220,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-30,-12.4634,130.8456,POINT(130.8456 -12.4634),38,0,33,5,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-30,-27.4698,153.0251,POINT(153.0251 -27.4698),1171,6,1160,5,,,"Queensland, Australia"
South Australia,Australia,2020-10-30,-34.9285,138.6007,POINT(138.6007 -34.9285),497,4,483,10,,,"South Australia, Australia"
Tasmania,Australia,2020-10-30,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-30,-37.8136,144.9631,POINT(144.9631 -37.8136),20347,819,19457,71,,,"Victoria, Australia"
Western Australia,Australia,2020-10-30,-31.9505,115.8605,POINT(115.8605 -31.9505),767,9,712,46,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-10-31,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-10-31,-33.8688,151.2093,POINT(151.2093 -33.8688),4425,53,3148,1224,,,"New South Wales, Australia"
Northern Territory,Australia,2020-10-31,-12.4634,130.8456,POINT(130.8456 -12.4634),38,0,33,5,,,"Northern Territory, Australia"
Queensland,Australia,2020-10-31,-27.4698,153.0251,POINT(153.0251 -27.4698),1172,6,1160,6,,,"Queensland, Australia"
South Australia,Australia,2020-10-31,-34.9285,138.6007,POINT(138.6007 -34.9285),501,4,483,14,,,"South Australia, Australia"
Tasmania,Australia,2020-10-31,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-10-31,-37.8136,144.9631,POINT(144.9631 -37.8136),20346,819,19466,61,,,"Victoria, Australia"
Western Australia,Australia,2020-10-31,-31.9505,115.8605,POINT(115.8605 -31.9505),769,9,718,42,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-11-01,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-11-01,-33.8688,151.2093,POINT(151.2093 -33.8688),4432,53,3148,1231,,,"New South Wales, Australia"
Northern Territory,Australia,2020-11-01,-12.4634,130.8456,POINT(130.8456 -12.4634),38,0,33,5,,,"Northern Territory, Australia"
Queensland,Australia,2020-11-01,-27.4698,153.0251,POINT(153.0251 -27.4698),1172,6,1163,3,,,"Queensland, Australia"
South Australia,Australia,2020-11-01,-34.9285,138.6007,POINT(138.6007 -34.9285),501,4,485,12,,,"South Australia, Australia"
Tasmania,Australia,2020-11-01,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-11-01,-37.8136,144.9631,POINT(144.9631 -37.8136),20345,819,19477,49,,,"Victoria, Australia"
Western Australia,Australia,2020-11-01,-31.9505,115.8605,POINT(115.8605 -31.9505),769,9,718,42,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-11-02,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-11-02,-33.8688,151.2093,POINT(151.2093 -33.8688),4435,53,3148,1234,,,"New South Wales, Australia"
Northern Territory,Australia,2020-11-02,-12.4634,130.8456,POINT(130.8456 -12.4634),38,0,33,5,,,"Northern Territory, Australia"
Queensland,Australia,2020-11-02,-27.4698,153.0251,POINT(153.0251 -27.4698),1175,6,1163,6,,,"Queensland, Australia"
South Australia,Australia,2020-11-02,-34.9285,138.6007,POINT(138.6007 -34.9285),503,4,486,13,,,"South Australia, Australia"
Tasmania,Australia,2020-11-02,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-11-02,-37.8136,144.9631,POINT(144.9631 -37.8136),20345,819,19488,38,,,"Victoria, Australia"
Western Australia,Australia,2020-11-02,-31.9505,115.8605,POINT(115.8605 -31.9505),770,9,738,23,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-11-03,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-11-03,-33.8688,151.2093,POINT(151.2093 -33.8688),4443,53,3150,1240,,,"New South Wales, Australia"
Northern Territory,Australia,2020-11-03,-12.4634,130.8456,POINT(130.8456 -12.4634),38,0,33,5,,,"Northern Territory, Australia"
Queensland,Australia,2020-11-03,-27.4698,153.0251,POINT(153.0251 -27.4698),1177,6,1165,6,,,"Queensland, Australia"
South Australia,Australia,2020-11-03,-34.9285,138.6007,POINT(138.6007 -34.9285),504,4,487,13,,,"South Australia, Australia"
Tasmania,Australia,2020-11-03,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-11-03,-37.8136,144.9631,POINT(144.9631 -37.8136),20345,819,19496,30,,,"Victoria, Australia"
Western Australia,Australia,2020-11-03,-31.9505,115.8605,POINT(115.8605 -31.9505),771,9,748,14,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-11-04,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-11-04,-33.8688,151.2093,POINT(151.2093 -33.8688),4445,53,3151,1241,,,"New South Wales, Australia"
Northern Territory,Australia,2020-11-04,-12.4634,130.8456,POINT(130.8456 -12.4634),39,0,33,6,,,"Northern Territory, Australia"
Queensland,Australia,2020-11-04,-27.4698,153.0251,POINT(153.0251 -27.4698),1177,6,1163,8,,,"Queensland, Australia"
South Australia,Australia,2020-11-04,-34.9285,138.6007,POINT(138.6007 -34.9285),509,4,489,16,,,"South Australia, Australia"
Tasmania,Australia,2020-11-04,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-11-04,-37.8136,144.9631,POINT(144.9631 -37.8136),20345,819,19506,20,,,"Victoria, Australia"
Western Australia,Australia,2020-11-04,-31.9505,115.8605,POINT(115.8605 -31.9505),771,9,748,14,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-11-05,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-11-05,-33.8688,151.2093,POINT(151.2093 -33.8688),4454,53,3153,1248,,,"New South Wales, Australia"
Northern Territory,Australia,2020-11-05,-12.4634,130.8456,POINT(130.8456 -12.4634),39,0,33,6,,,"Northern Territory, Australia"
Queensland,Australia,2020-11-05,-27.4698,153.0251,POINT(153.0251 -27.4698),1177,6,1163,8,,,"Queensland, Australia"
South Australia,Australia,2020-11-05,-34.9285,138.6007,POINT(138.6007 -34.9285),510,4,489,17,,,"South Australia, Australia"
Tasmania,Australia,2020-11-05,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-11-05,-37.8136,144.9631,POINT(144.9631 -37.8136),20345,819,19511,15,,,"Victoria, Australia"
Western Australia,Australia,2020-11-05,-31.9505,115.8605,POINT(115.8605 -31.9505),775,9,750,16,,,"Western Australia, Australia"
Australian Capital Territory,Australia,2020-11-06,-35.4735,149.0124,POINT(149.0124 -35.4735),114,3,111,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,2020-11-06,-33.8688,151.2093,POINT(151.2093 -33.8688),4459,53,3153,1253,,,"New South Wales, Australia"
Northern Territory,Australia,2020-11-06,-12.4634,130.8456,POINT(130.8456 -12.4634),39,0,33,6,,,"Northern Territory, Australia"
Queensland,Australia,2020-11-06,-27.4698,153.0251,POINT(153.0251 -27.4698),1177,6,1163,8,,,"Queensland, Australia"
South Australia,Australia,2020-11-06,-34.9285,138.6007,POINT(138.6007 -34.9285),512,4,490,18,,,"South Australia, Australia"
Tasmania,Australia,2020-11-06,-42.8821,147.3272,POINT(147.3272 -42.8821),230,13,217,0,,,"Tasmania, Australia"
Victoria,Australia,2020-11-06,-37.8136,144.9631,POINT(144.9631 -37.8136),20345,819,19518,8,,,"Victoria, Australia"
Western Australia,Australia,2020-11-06,-31.9505,115.8605,POINT(115.8605 -31.9505),776,9,755,12,,,"Western Australia, Australia"
